;汉字	;希顶	备注	汉希提示	希汉提示
腱	ejuY			
鱿	By6			
鲀	B78			
鲂	BfT			
颍	6qu8			
颍	y86	旧拼写	-	-
颍	Hy86	旧拼写	-	-
猢	vfiA			
猹	vDua			
猥	vwL			
飓	b5iV			
觞	suT7			
觚	giA7			
猱	vr6			
颎	y8xH			
颎	y8xt	旧拼写	-	-
飧	L5ia			
馇	LDua			
馊	Ls6			
亵	Huau			
脔	v2jH			
脔	v2j	旧拼写	-	-
脔	v2e	旧拼写	-	-
裒	ju6u			
痣	Hu6t			
痨	lLt			
痦	twi6			
痞	tpia			
痤	Dot			
痫	x2t			
痧	sat			
赓	g8x			
竦	fs3			
瓿	kia7			
啻	ruYH			
啻	rVH	旧拼写	-	-
颏	ker			
鹇	x2n			
阑	l2H			
阒	mHjA			
阒	m5iV	旧拼写	-	-
阕	mciV			
粞	h5a			
遒	qu6z			
孳	VHuY			
焯	xzo			
焜	xc8			
焙	biVx			
焱	xyuV			
焱	3ho	旧拼写	-	-
鹈	ntE			
湛	Eki2			
渫	dieE			
湮	y2E			
湎	mi2E			
湜	EsE			
渭	Ewie			
湍	DuYE			
湫	Equ6			
溲	Es6			
湟	EfiT			
溆	Er7io			
溆	EFa	旧拼写	-	-
湲	yu2E			
湔	EjuV			
湉	Eti2Y			
渥	Ewio			
湄	EmiV			
滁	EtA1			
滁	EBio	旧拼写	-	-
愠	vi3Y			
惺	Yx8			
愦	ciVY			
惴	DuYY			
愀	Yqu6			
愎	YkiY			
愔	Y73			
喾	kiAf			
寐	mVf			
谟	imo			
扉	pfV			
裢	uli2			
裎	uB8			
裥	uj2			
祾	vi8u			
祾	vi8t	旧拼写	-	-
祺	uqE			
祺	tqE	旧拼写	-	-
谠	dTi			
幂	fmAp			
谡	rai			
谥	i5iY			
谧	ima4			
谧	i4ma	旧拼写	-	-
遐	xaz			
孱	Bie			
弼	llbiY			
弼	lbiYl	旧拼写	-	-
弼	lbiY	旧拼写	-	-
巽	zu2H			
骘	g4uo			
媪	w8A			
媛	yu2A			
婷	At8			
巯	li6i			
翚	hVn			
翚	n58	旧拼写	-	-
皴	ju8j			
婺	wi6A			
骛	wi6g			
骛	wiAg	旧拼写	-	-
缂	aBe			
缃	axT			
缄	jYa			
彘	vbE			
缇	ti6a			
缈	miLa			
缌	anua			
缑	ahi6			
缒	zuVa			
缗	abmi8			
飨	xuTL			
耢	lL7			
瑚	3fiA			
瑁	mL3			
瑜	37o			
瑗	yu23			
瑄	3xu2			
瑕	xa3			
遨	4iLz			
骜	4iLg			
韫	vi3p			
髡	wiYj			
塬	dyu2			
鄢	yY1			
趔	Dlie			
趑	DHuV			
摅	8liA			
摁	848			
蜇	kzue			
搋	g18			
搪	8tiT			
搐	8Bo			
搛	8jY			
搠	8suo			
摈	8bi8			
彀	gAl			
毂	gAq			
搦	8ruo			
搡	8sT			
蓁	Hu8y			
蓁	Hu8h	旧拼写	-	-
戡	lki2H			
蓍	NiLy			
鄞	Ni31			
靳	xj3			
蓐	yrua			
蓦	gmo			
鹋	nmiL			
蒽	y48			
蓓	biVy			
蓖	pi6y			
蓊	yw3			
蒯	ylp3			
蒯	yp3l	旧拼写	-	-
蓟	y7T			
蓑	DVy			
蒿	hLy			
蒺	N1y			
蒺	tNEy	旧拼写	-	-
蓠	yviV			
蒟	yFof			
蒡	bTy	bàng		
蒡	ypT	páng		
蒹	yjY			
蒴	ysuo			
蒗	ylTE			
蓥	nu3N			
颐	NTr			
楔	cqV			
楠	cn2			
楂	zuac	zhā		
楂	cDua	chá 同“茬”；水中木筏	-	
楝	vec			
楫	Nioc			
楸	cqu6			
椴	cF2			
槌	zuVc			
楯	F8c			
皙	b5io			
榈	cviom			
槎	cDo			
榉	5Vc			
楦	cxu2			
楣	cmiV			
楹	Hu3c			
椽	ctV			
裘	uq6			
剽	lpiL			
甄	7i37			
酮	4t3			
酰	4x2			
酯	4HuL			
酩	mi84			
蜃	kBi8			
碛	sze			
碓	FVs			
硼	sp3			
碉	diLs			
碚	biVs			
碇	di8s			
碜	sD2			
鹌	4i2n			
辏	Du6q			
龃	NiAj			
龅	jbL			
訾	HuLi			
粲	gEH			
虞	7iov			
睚	yaT			
嗪	oFi3			
韪	swiV			
嗷	4iLo			
嗉	oci6			
睨	nET			
睢	suVT			
雎	NiAn			
睥	pTT			
嘟	F6o			
嗑	coo			
嗫	one			
嗬	yhieo			
嗔	oHu8			
嗝	Beo			
戥	lx8			
嗄	oxua			
煦	xFob			
暄	bxu2			
遢	taz			
暌	bciV			
跬	DBV			
跶	Ddia			
跸	bED			
跐	DHV			
跣	Dx2			
跹	Dzq2			
跻	jED			
蛸	suLk			
蜊	kvV			
蜍	tAk			
蜉	k4iT			
蜣	kquT			
蜣	kjuT	旧拼写	-	-
畹	4wi2			
蛹	kyu3			
嗣	4Ho			
嗯	o48			
嗥	giLo			
嗲	odie			
嗳	4Yo			
嗌	o5iY			
嗍	osuo			
嗨	hiYo			
嗐	ohiY			
嗤	Huoo			
嗵	t3o			
罨	y24			
嵊	wc3			
嵩	wgL			
嵴	w4T			
骰	t6j			
锗	N7ie			
锛	b8N			
锜	NNi6			
锝	FeN			
锞	kieN			
锟	Nc8			
锢	Nga			
锨	Nki8r			
锨	xuYN	旧拼写	-	-
锩	Nju2			
锭	di8N			
锱	NHuY			
雉	N1n			
雉	rE7	旧拼写	-	-
氲	vi36			
犏	gpi2H			
歃	ruar			
稞	kieh			
稗	hbV			
稔	hnu2			
筠	582	jūn 用于“筠连”（地名）	~连	
筠	532	yún		
筢	pa2			
筮	2wia			
筲	suL2			
筱	y62			
牒	diep			
煲	bLx			
敫	juLH			
徭	yLzH			
徭	yLV	旧拼写	-	-
愆	F4u2			
艄	suLq			
觎	T7o			
毹	c3j			
毹	j7o	旧拼写	-	-
貊	4uov			
貅	vx6			
貉	vgie			
颔	rhi2			
腠	Du6e			
腩	en2			
腼	mi2e			
腭	e4o			
腧	c3e			
腧	e7o	旧拼写	-	-
塍	t8d			
媵	t8A			
詹	Hu2			
鲅	Bbia			
鲆	Bpi8			
鲇	n2B			
鲈	Bva			
稣	Hco			
稣	Bco	旧拼写	-	-
鲋	B4i3			
鲐	BtY			
肄	rNE			
鹐	quan			
飕	bs6			
觥	7BT			
觥	7TB	旧拼写	-	-
遛	zli6			
馐	LDu6			
鹑	B3n			
亶	ci2H			
瘃	zuot			
痱	tfV			
痼	tga			
痿	twV			
瘐	7Tt			
瘐	t7T	旧拼写	-	-
瘁	DuVt			
瘆	tD2			
麂	vjE			
裔	4yE			
歆	r73			
旒	li6f			
雍	y3H			
阖	fom			
阗	7iem			
阙	mjue			
阙	ci6m	旧拼写	-	-
羧	sog			
豢	quov			
粳	hgi8			
猷	qu6v			
煳	xfiA			
煜	xFa			
煜	xkEb	旧拼写	-	-
煜	xyAb	旧拼写	-	-
煨	xwL			
煅	xF2			
煊	xxu2			
煸	xbi2			
煺	x7V			
滟	Eyo			
溱	EFi3			
溘	coE			
漭	EmT			
滢	nu3E			
滢	Enu33	旧拼写	-	-
溥	4EE			
溧	EviL			
溽	Erua			
裟	sau			
溻	taE			
溷	ErLm			
滗	EkiL			
滫	Ey6e			
溴	xu6E			
滏	EN4iA			
滏	4iAE	旧拼写	-	-
滃	Ew3			
滦	v2E			
溏	EtiT			
滂	EpT			
滓	HuVE			
溟	m8E			
滪	Er7L			
滪	7oE	旧拼写	-	-
愫	Yci6			
慑	seY			
慊	quVY			
鲎	f7T			
骞	qYg			
窦	dAf			
窠	kief			
窣	fzuV			
裱	ubiL			
褚	zAu	zhǔ		
褚	Biou	chǔ		
裨	b6u			
裾	ujA			
裰	diou			
禊	uqV			
禊	tqV	旧拼写	-	-
谩	im2			
谪	ruYi			
媾	g6A			
嫫	Amo			
媲	pi6A			
嫒	4YA			
嫔	Afbi8			
媸	HuoA			
缙	j3a			
缜	aHu8			
缛	arua			
辔	4Va			
辔	aqoa	旧拼写	-	-
骝	gli6			
缟	agL			
缡	aviV			
缢	a5iY			
缣	ajY			
骟	gcie			
耥	sT7			
璈	4iL3			
瑶	yL3			
瑭	3tiT			
獒	4iLv			
觏	g6T			
慝	nuoF			
嫠	lEA			
韬	ptL			
叆	4Y6			
髦	jmL			
摽	biL8			
墁	dm2			
撂	liA8			
摞	8uliV			
摞	8aliV	旧拼写	-	-
撄	8Hu3			
翥	zAn			
踅	Dzue			
摭	zue8			
墉	yu3d			
墒	ciTd			
榖	gAc			
綦	HuqE			
綦	aqE	旧拼写	-	-
蔫	yYy			
蔷	quTy			
靺	xmio			
靼	diax			
靼	xd2	旧拼写	-	-
鞅	xyT			
靿	x76			
甍	mi37			
蔸	d6y			
蔟	ycia			
蔺	v3H			
戬	j3l			
蕖	yNiA			
蔻	yki6			
蓿	ykiV			
斡	hY7			
斡	hYY	旧拼写	-	-
鹕	nfiA			
蓼	vLy			
榛	Hu8c			
榧	cmfV			
榻	tac			
榫	43c			
榭	xoc			
槔	giLc			
榱	DVc			
槁	cgL			
槟	cfbi8			
槠	cBioi			
槠	Bioic	旧拼写	-	-
榷	quec			
僰	Hue1			
酽	4yuY			
酶	4mVH			
酶	4mV	旧拼写	-	-
酹	4hiA			
厮	5nuT			
碡	sdiA			
碴	sDua			
碣	jos			
碲	sdE			
磋	sDo			
臧	ruTH			
豨	vxE			
殡	tbi8			
霆	6ti8			
霁	jE6			
辕	qtiV			
蜚	kfV			
裴	pYu			
翡	nfV			
龇	HuLj			
龈	k8j	kěn 同“啃”	-	
龈	73j	yín		
睿	hueT			
䁖	Tl6			
睽	TciV			
嘞	ove			
嘈	oDL			
嘌	opiL			
嘁	NLo			
嘎	gVo			
暧	4Yb			
暝	m8b			
踌	DD6			
踉	DliT			
蜞	kqE			
蜥	k5io			
蜮	khio			
蝈	kgo			
蜴	k5iT			
蜱	kbV			
蜩	kru6			
蜷	quok			
蜿	kwi2			
螂	klT			
蜢	m3k			
嘘	oxA			
嘡	otT			
鹗	n4o			
嘣	b3o			
嘤	oHu3			
嘚	Feo			
嗾	ocia			
嘧	mao			
罴	biYx			
罱	4n2			
幔	pm2			
嶂	zTw			
幛	zTp			
赙	4Ex			
罂	7Hu3			
骷	kAj			
骶	jdiT			
鹘	ngiA			
锲	NqV			
锴	kiYN			
锶	Nnua			
锷	N4o			
锸	ruaN			
锵	NjT			
镁	miVN			
镂	Nl6			
犒	ggL			
箐	N82	jīng	-	
箐	2q8	qìng		
箦	2ze			
箧	2qa			
箍	hua8			
箸	zA2			
箬	ro2			
箅	bi62			
箪	d22			
箔	bo2			
箜	2k3			
箢	2wi2			
箓	2lA			
毓	A7iT			
毓	lhu2	旧拼写	-	-
僖	V5o			
儆	Vki8			
僳	Vcio			
僭	BYV			
劁	quLl			
僮	7iTV	zhuàng 用于“僮族”（即壮族）	~族	
僮	Vti3	tóng		
魃	tbia			
魆	yuot			
睾	giLe			
艋	m3q			
鄱	1p2			
膈	Bee			
膑	ebi8			
鲑	BBV			
鲔	weB			
鲚	jEB			
鲛	BjL			
鲟	B5i8			
獐	zTv			
觫	7s3			
雒	lon			
夤	ti3b			
馑	Ni3L			
銮	v2N			
塾	dciL			
麽	m1			-
麽	mom	旧拼写	-	-
瘌	tla			
瘌	tHuVl	旧拼写	-	-
瘊	thi6			
瘘	tl6			
瘙	nuLt			
廖	vL5			
韶	sLi			
韶	sL4	旧拼写	-	-
旖	fNi6			
膂	el1			
阚	fiYm			
鄯	1ci2			
鲞	xuTB			
粿	hgio			
粼	v8a			
粽	zu3h			
糁	hk2			
槊	csuo			
鹚	HVn			
熘	xli6			
熥	t3x			
潢	hiTE			
漕	EDL			
滹	hi6E			
滹	EhiA			
漯	EliV			
漶	Efi6			
潋	Eli2r			
潴	EzAv			
潴	HAE	旧拼写	-	-
漪	5iTE			
漉	Evio			
漳	zTE			
漩	ExuV			
澉	gi2E			
潍	wVE			
慵	yu3Y			
搴	qYj			
搴	qY8	旧拼写	-	-
窨	f73			
寤	fwi6			
綮	uqua			
綮	aqua	旧拼写	-	-
谮	BYi			
褡	dau			
褙	ubiV			
褓	bLuH			
褛	viau			
褊	ubi2			
谯	quLi			
谰	l2i			
谲	tiYi			
暨	bgY			
屣	56p			
鹛	nmiV			
嫣	yYA			
嫱	quTA			
嫖	ApiL			
嫦	ABiT			
嫚	Am2			
嫘	AliV			
嫡	FEA			
鼐	7nY			
鼐	4nY	旧拼写	-	-
翟	d1			
瞀	TmiY			
瞀	TrmiY	旧拼写	-	-
鹜	wi6n			
骠	biLg	biāo 有白斑的黄马		
骠	gpiL	piào 勇猛		
缥	apiL			
缦	am2			
缧	auliV			
缧	aliV	旧拼写	-	-
缨	aHu3			
骢	gDu3			
缪	mi6a			
缫	DLa			
耦	4i67			
耧	7l6			
瑾	Ni33			
璜	hiT3			
璀	3DuV			
璎	3Hu3			
璁	3Du3			
璋	zT3			
璇	3xuV			
奭	4uTs			
髯	jr2			
髫	sLj			
撷	xe8			
撅	8jue			
赭	h7ie			
撸	vo8			
鋆	53N			
撙	8zu8			
撺	8Du2			
墀	d56			
聩	ciVT			
觐	Ni3T			
鞑	xdia			
蕙	yfe			
鞒	xquL			
蕈	y72			
蕨	yjue			
蕤	rLy			
蕤	yrL	旧拼写	-	-
蕞	yzV			
蕺	yNiol			
瞢	mi3T			
瞢	mi3H	旧拼写	-	-
蕃	yfi2			
蕲	N6y			
赜	4ze			
槿	Ni3c			
樯	quTc			
槭	NLc			
樗	cwia6			
樘	ctTH			
樊	pi6			
槲	chA			
醌	4c8			
醅	piV4			
靥	yuar			
靥	yuam	旧拼写	-	-
魇	yuat			
餍	yuaL			
磔	s5i2			
磙	B8s			
霈	6pVE			
辘	qvio			
龉	7Yj			
龉	jwi6	旧拼写	-	-
龊	jB6			
觑	TxA			
瞌	coT			
瞋	7ieT			
瞑	m8T			
嘭	op8			
噎	oNV			
噶	og1			
噶	ogV	旧拼写	-	-
颙	r7ia			
暹	bzVz			
噘	ojue			
踔	huoD			
踝	kieD			
踟	DHa			
踒	DwV			
踬	DHE			
踮	DdiV			
踯	zu8D			
踺	DjuY			
踞	DjA			
蝽	kDu8			
蝾	kru3			
蝻	kn2			
蝰	kcV			
蝮	kkiY			
螋	ks6			
蝓	k7o			
蝣	76k			
蝼	kl6			
噗	piAo			
嘬	ozV			
颚	r4o			
噍	ojuL			
噢	o4L			
噙	oqu3			
噜	voo			
噌	D8o			
噔	od8			
颛	DuYr			
幞	piAp			
幡	pfi2			
嶙	v8w			
嶝	wd8			
骺	jh6			
骼	jgie			
骸	jhY			
镊	Nne			
镉	BeN			
镌	N5ie			
镍	nVN			
镏	Nli6			
镒	N5iY			
镓	Njua			
镔	Nbi8			
稷	rah			
箴	jY2			
篑	ciV2			
篁	2fiT			
篌	2hi6			
篆	2tV			
牖	phiAp			
牖	pphiA	旧拼写	-	-
儋	BieV			
儋	VHu2	旧拼写	-	-
徵	wiL3			
磐	pes			
虢	hiAv			
鹞	yLn			
膘	biLe			
滕	t86			
滕	t8E	旧拼写	-	-
鲠	Bgi8			
鲡	BviY			
鲢	Bli2			
鲣	Bko			
鲥	HoB			
鲥	BHo	旧拼写	-	-
鲧	Blia			
鲩	huYB			
獗	vjue			
獠	liLv			
觯	7d2			
馓	Lsua			
馔	zu2L			
麾	mEj			
麾	moj	旧拼写	-	-
廛	r2H			
瘛	HeF			
瘛	He5	旧拼写	-	-
瘼	tmo			
瘢	tb2			
瘠	t4T			
齑	jEh			
齑	rk1	旧拼写	-	-
羯	jog			
羰	g7Y			
𥻗	zuah			
遴	v8z			
糌	H2h			
糍	HVh			
糅	hr6			
熜	xDu3			
熵	ciTx			
熠	NVx			
澍	DAE			
澍	dVE	旧拼写	-	-
澌	EnuT			
潸	Esua			
潸	Eyue	旧拼写	-	-
潦	liLE			
潲	suLE			
鋈	wioN			
潟	xoE			
潼	Eti3			
潺	EBie			
憬	YNi8			
憧	7iTY			
寮	liLf			
窳	2giAf			
谳	i52			
褴	vi2u			
褟	tau			
褫	g1u			
谵	iHu2			
熨	wLx			
屦	pviaV			
嬉	A5o			
勰	FxY			
戮	vLl			
蝥	krmiY			
蝥	krmL	旧拼写	-	-
缬	xea			
缮	aci2			
缯	H3a			
骣	gBie			
畿	4jE			
耩	g6h			
耨	7rua			
耪	7pT			
璞	piA3			
璟	3Ni8			
靛	di8h			
璠	3fi2			
璘	v83			
聱	4iLT			
螯	4iLk			
髻	jNo			
髭	HuLjH			
髹	jx6			
擀	8hYc			
擀	87gi2	旧拼写	-	-
擀	8gi2	旧拼写	-	-
熹	x5o			
甏	7p8			
擞	su68			
縠	gAa			
磬	Fi3s			
颞	rne			
蕻	hi3y			
鞘	qLx	qiào 装刀、剑的套子		
鞘	suLx	shāo 拴在鞭子末端的细皮条	-	
鞘	qYx	旧拼写	-	-
颟	m2r			
薤	yk1			
薨	mi3t			
檠	cki8			
薏	y5L			
薮	su6y			
薜	ybi6			
薅	Ayrua			
薅	yArua	旧拼写	-	-
樾	yuoc			
橛	cjue			
橇	cHqL			
橇	cqL	旧拼写	-	-
樵	quLc			
檎	cqu3			
橹	voc			
樽	czu8			
樨	c56			
橼	actV			
橼	catV	旧拼写	-	-
墼	dvie			
橐	csdA			
翮	Ben			
醛	4yqu2			
醐	4fiA			
醍	ti64			
醚	4zmE			
磲	sNiA			
赝	xyV			
飙	4uEb			
飙	4uLb	旧拼写	-	-
殪	tNV			
霖	li86			
霏	6fV			
霓	nE6			
錾	NH2			
辚	v8q			
臻	Hu8z			
臻	Hu84	旧拼写	-	-
遽	5iVz			
氅	BTj			
瞟	TpiL			
瞠	TtT			
瞰	fiYT			
嚄	hoo			
嚆	ohLy			
噤	oju3			
暾	bF8			
蹀	dieD			
踹	DuYD			
踵	Dzu3			
踽	kTD			
蹉	DDo			
蹁	Dpi2			
螨	m2k			
蟒	kmT			
螈	kyu2			
螅	xEk			
螭	kviV			
螠	k5iY			
螟	m8k			
噱	5iVo			
噬	owia			
噫	o5L			
噻	sYo			
噼	opa			
罹	wV4			
圜	fi2m			
䦃	NzAy			
镖	biLN			
镗	NtT			
镘	Nm2			
镚	Nb3w			
镛	yu3N			
镝	FEN			
镞	Ncia			
镠	mi6N			
氇	voj			
氆	jpA			
憩	xEL			
憩	ti24F	旧拼写	-	-
穑	sueh			
篝	g62			
篥	2viL			
篦	pi62			
篪	g12			
篙	2gL			
盥	B24			
盥	B264	旧拼写	-	-
劓	lbi6T			
劓	lbi64	旧拼写	-	-
劓	bi64l	旧拼写	-	-
翱	giLn			
翱	gLn	旧拼写	-	-
魉	tviT			
魈	txL			
徼	juLzH			
徼	juLV	旧拼写	-	-
歙	5ior			
膳	eci2			
膦	v8e			
膙	eqT			
鲮	vi8B			
鲱	BfV			
鲲	Bc8			
鲳	BDT			
鲴	Bga			
鲵	nEB			
鲷	diLB			
鲻	HuYB			
獴	vm3			
獭	vliY			
獬	vxe			
邂	zxe			
鹧	zuen			
廨	5xe			
赟	xw6r			
赟	xrwi8	旧拼写	-	-
瘰	tliV			
廪	5l8			
瘿	tHu3			
瘵	Not			
瘴	zTt			
癃	tli3			
瘳	mi6t			
斓	l2r			
麇	hvio			
麈	vka			
麈	dvio	旧拼写	-	-
嬴	y8A			
壅	y3d			
羲	5aH			
糗	xu6h			
瞥	pieT			
甑	H37			
燎	liLx			
燠	x4L			
燔	xfi2			
燧	xsV			
濑	EliY			
濉	suVE			
潞	Evo			
澧	viVE			
澹	BieE			
澹	EHu2	旧拼写	-	-
澥	Exe			
澶	ci2E			
濂	Evi2			
褰	qYu			
褰	q2u	旧拼写	-	-
寰	fi2f			
窸	5of			
褶	5iau			
禧	u5o			
禧	t5o	旧拼写	-	-
嬖	Abi6			
犟	gqT			
隰	xY1			
嬗	ci2A			
颡	rsT			
缱	aque			
缲	zuLa			
缳	fi2a			
璨	gE3			
璩	5iV3			
璐	3vo			
璪	zuL3			
螫	khEr			
擤	85e			
壕	dhL			
觳	gA7			
罄	Fi37			
擢	8d1			
薹	ytYH			
鞡	xla8			
鞬	xjuY			
薷	rAy			
薰	5i8y			
藓	yxuo			
藁	ygL			
檄	juLc			
檩	cl8			
懋	FcmiY			
懋	FmiY	旧拼写	-	-
醢	47i64			
翳	nNiV			
礅	sF8			
磴	sd8			
鹩	liLn			
龋	kTj			
龌	jwio			
豳	rLw			
豳	2rLw	旧拼写	-	-
壑	hued			
黻	fAuH			
黻	fAu	旧拼写	-	-
嚏	o7E			
嚅	rAo			
蹑	Dne			
蹒	m2D			
蹊	D5i6			
蟥	hiTk			
螬	kDL			
螵	kpiL			
疃	7iT4			
螳	ktT			
蟑	zTk			
嚓	oDa			
羁	4Be			
罽	4lyuV			
罾	H34			
嶷	wNE			
黜	bDA			
黝	b76			
髁	kiej			
髀	b6j			
镡	N72			
镢	Njue			
镣	liLN			
镦	NF8			
镧	l2N			
镩	NfDu2			
镪	NqT			
镫	Nd8			
罅	7vhiA			
黏	n2h			
黏	n2hh	旧拼写	-	-
簌	c62			
篾	mie2			
篼	d62			
簖	F22			
簋	2g84			
鼢	vf8			
鼢	vf8H	旧拼写	-	-
黛	bdY			
儡	VliV			
鹪	njuL			
鼾	hi2T			
皤	bp2			
魍	wiTt			
龠	4ueH			
繇	yLu			
繇	yLa	旧拼写	-	-
貘	vmo			
邈	zhuL			
貔	pi6v			
臌	gae			
膻	ci2e			
臆	e5L			
臃	y3e			
鲼	p3B			
鲽	dieB			
鳀	BsE			
鳃	suYB			
鳅	Bqu6			
鳇	BfiT			
鳊	Bbi2			
螽	kdi3k			
燮	4uYH			
鹫	j6n			
襄	kiTH			
糜	mEh			
糜	mEhH	旧拼写	-	-
縻	mEu			
縻	mEa	旧拼写	-	-
膺	eH3			
癍	tkio			
麋	vmE			
懑	m2F			
濡	rAE			
濮	piAE			
濞	Ebi6T			
濞	Ebi64	旧拼写	-	-
濞	bi64E	旧拼写	-	-
濠	EhL			
濯	Ed1			
蹇	qYD			
謇	qYi			
邃	fsV			
襁	uqT			
檗	cpia			
擘	jbi6			
擘	8bi6	旧拼写	-	-
孺	rAz			
隳	sVF			
隳	suVeF	旧拼写	-	-
嬷	Am1			
蟊	kmiY			
鹬	tiYn			
鍪	NmiY			
鍪	wi6N	旧拼写	-	-
鍪	NrmiY	旧拼写	-	-
鏊	4iLN			
鳌	4iLB			
鬈	jju2			
鬃	zu3j			
瞽	gaT			
鞯	x4u8			
鞨	Nex			
鞫	hu3x			
鞧	qu6x			
鞣	xr6			
藜	yvL			
藠	5i2y			
藩	Eyfi2			
藩	yEfi2	旧拼写	-	-
醪	vL4			
蹙	NLD			
礓	jTs			
燹	rLx			
燹	2rLx	旧拼写	-	-
餮	z8L			
瞿	qAH			
曛	5i8b			
颢	fiLr			
曜	ciLbH			
躇	DBioy			
蹚	DtT			
鹭	nvo			
蟛	kp8			
蟪	kfe			
蟠	kp2			
蟮	kci2			
鹮	fi2nH			
黠	bNo			
黟	5Tb			
髅	jl6			
髂	cej			
镬	hoN			
镭	BlV			
镯	NkiA			
馥	hkiY			
簟	272			
簪	H22			
鼬	vyu6			
雠	suVn			
艟	7iTq			
鳎	taB			
鳏	Bi2B			
鳐	yLB			
癞	tliY			
癞	nuat	là，旧拼写	-	-
癔	t5L			
癜	tFie			
癖	tpa			
糨	hqT			
蹩	bieD			
鎏	Nli6E			
懵	mi3Y			
彝	amE			
邋	liaz			
鬏	jqu6			
攉	hio8			
攒	z28			
鞲	Hg6x			
鞴	xbe			
藿	hioy			
蘧	y5iVz			
蘅	yhi8			
麓	cvio			
醮	4juL			
醯	4li64			
酃	1vi8			
霪	643			
霭	4iY6			
霨	wL6			
黼	hiAu			
黼	pAu	旧拼写	-	-
嚯	hioo			
蹰	DDA5			
蹰	DAD	旧拼写	-	-
蹶	Djue			
蹽	liLD			
蹼	piAD			
蹴	j6D			
蹾	DF8			
蹿	DDu2			
蠖	hok			
蠓	km3			
蟾	Biek			
蟾	kHu2			
蠊	kvi2			
黢	ju8bH			
髋	jc2			
髌	jfbi8			
髌	jbi8H	旧拼写	-	-
镲	NDa			
籀	28li6			
籁	2liY			
齁	Tgi6			
齁	jgi6	旧拼写	-	-
魑	tviV			
艨	qm3			
鳓	Bve			
鳔	BpiL			
鳕	Bxue			
鳗	Bm2			
鳙	yu3B			
麒	vqE			
鏖	Nvio			
羸	y8g			
㸆	xtgiL			
㸆	xhgiL	旧拼写	-	-
瀚	hYE			
瀚	EfiY	旧拼写	-	-
瀣	Ek1			
瀛	y8E			
襦	rAu			
谶	xuYi			
谶	ik1	旧拼写	-	-
襞	upa			
骥	gN1			
缵	z2a			
瓒	z23			
攘	rT8			
蘩	yhu2			
蘖	cnue			
醴	viV4			
霰	6sua			
酆	h61			
矍	NieH			
曦	5ab			
躅	DkiA			
鼍	ci3v			
巉	Du2w			
黩	dAb			
黥	bNi3			
黥	Ni3b	旧拼写	-	-
黪	bD2			
镳	4uLN			
镴	lieN			
镴	liaN	旧拼写	-	-
黧	bvL			
纂	usu2			
纂	asu2	旧拼写	-	-
璺	5i33			
鼯	vwi6			
鼯	7Vj	旧拼写	-	-
臜	z2e			
鳜	Bjue			
鳝	Bci2			
鳟	Bzu8			
獾	fi6v			
孀	AsuT			
骧	kiTg			
瓘	B23			
鼙	7bV			
醺	5i84			
礴	sbioy			
颦	4pi3			
曩	bnT			
鳢	viVB			
癫	tdi2			
癫	ydi2	旧拼写	-	-
麝	vrue			
夔	cEH			
爝	xNie			
灏	fiLE			
禳	rTu			
禳	rTt	旧拼写	-	-
鐾	Npa			
羼	p3yuT			
蠡	vVH			
耱	7mos			
懿	FNV			
蘸	y4juL			
鹳	B2n			
霾	mY6			
氍	qAj			
饕	LrL			
饕	LhL	旧拼写	-	-
躐	lieD			
躐	liaD	旧拼写	-	-
髑	jkiA			
镵	Du2N			
镵	D2N	旧拼写	-	-
穰	rTh			
饔	w3L			
鬻	7o7			
鬻	hBel	旧拼写	-	-
鬻	Belh	旧拼写	-	-
鬟	fi2j			
趱	z2DH			
攫	Nie8			
攥	8usu2			
攥	8asu2	旧拼写	-	-
颧	qu2r			
躜	z2D			
鼹	yov			
癯	qAt			
麟	v8v			
蠲	Tk5iY			
蠲	45iY	旧拼写	-	-
蠹	kdiA			
蠹	kdiAk	旧拼写	-	-
躞	4uYD			
衢	qAm			
鑫	7i83			
灞	biaE			
襻	upi6			
纛	udiA			
纛	adiA	旧拼写	-	-
鬣	liej			
鬣	liaj	旧拼写	-	-
攮	8nT			
囔	onT			
馕	LnT			
戆	g2F			
爨	DuYH			
爨	c5i3x	旧拼写	-	-
爨	5i3xc	旧拼写	-	-
齉	TnT			
齉	jnT	旧拼写	-	-
亍	HDA			
亍	DAj	旧拼写	-	-
尢	Hy6			
彳	HDE			
彳	VDE	旧拼写	-	-
彳	7H	旧拼写	-	-
卬	7iYH			
殳	5T			
𠙶	mliL			
毌	B2H			
毌	diA	旧拼写	-	-
邘	1yA			
戋	juYH			
圢	ddi8			
氕	pie6			
氕	6NV	旧拼写	-	-
伋	VNa			
仝	4u3			
冮	gTE			
氿	Eju6			
汈	EdiL			
氾	feE			
忉	YdL			
宄	giVf			
𬣙	iyA			
讱	ir8			
扞	hi28	hàn 同“捍”	-	
扞	8gi2	gǎn		
圲	dq2			
圫	Duad			
芏	diAy			
芃	f2y			
朳	bac			
朸	cvE			
𨙸	1Hua			
邨	781			
吒	Duao			
吖	oyay			
吖	oyaY	旧拼写	-	-
屼	wiYw			
屾	ws2			
辿	zs2			
钆	zaN			
仳	pEV			
伣	VjV			
伈	V53			
癿	zab			
甪	py3			
邠	p21			
犴	42v			
冱	Efo			
邡	1fTH			
邡	1HfT	旧拼写	-	-
闫	mk2			
𬇕	Ew2			
汋	EsuL			
䜣	ki8i			
